269.80  0.23512
270.98  0.31375
272.58  0.47555
274.47  0.60175
275.40  0.75155
276.19  0.88717
277.54  1.1428
279.15  1.4944
280.96  1.8053
282.68  2.3482
284.01  2.8430
286.23  3.8617
288.95  5.4157
291.59  7.2678
294.19  9.8409
298.66  13.393
304.54  18.313
312.20  24.174
325.74  30.724
345.77  34.109
366.38  35.006
387.58  34.470
408.78  33.068
429.39  30.491
449.41  27.400
468.84  24.044
487.10  20.622
505.94  18.070
523.61  15.213
535.98  11.707
546.58  8.9757
558.94  6.9891
574.26  5.5574
588.39  4.3903
601.34  3.4308
613.12  2.6549
623.72  2.0257
633.14  1.5317
641.39  1.1548
649.63  0.85438
656.70  0.63580
662.59  0.47727
669.07  0.35067
674.96  0.26005
680.26  0.19302
685.56  0.14252
690.86  0.10444
695.57  0.077386
700.28  0.057090
704.99  0.042036
709.70  0.030981
713.82  0.023055
718.34  0.017357
723.24  0.012374
